brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,warranty,Touchscreen,msoffice,rating,Price
4,1,2,0,3,4,0,3,0,0,2,3,0,0,2,102551
5,1,2,0,3,4,0,3,0,0,1,3,0,0,3,46990
4,1,2,5,3,1,2,0,2,1,0,0,0,0,3,76012
5,1,2,1,3,1,4,0,2,1,0,1,0,0,3,49490
7,1,2,4,3,0,4,0,2,1,0,0,0,0,3,86867
1,1,2,1,3,1,4,0,2,1,0,0,0,0,2,48990
3,1,2,1,3,1,4,0,2,1,0,3,0,0,2,55990
7,1,2,5,3,0,4,0,2,1,0,0,0,0,3,81998
4,1,2,5,3,1,4,0,2,1,0,0,0,0,2,136590
7,1,2,5,3,1,4,0,2,1,0,0,0,0,2,59490
1,1,2,1,3,1,4,0,2,1,0,0,0,0,2,49800
5,1,2,1,3,1,4,0,2,1,0,0,0,0,1,61999
4,1,2,1,3,1,6,0,2,1,0,3,0,0,3,54990
4,1,2,1,3,1,6,0,2,1,0,0,0,0,3,53990
5,1,2,1,3,1,6,0,2,1,0,1,0,0,3,52990
4,1,2,1,0,1,6,0,2,1,0,0,0,0,3,67990
1,1,2,0,3,1,6,0,2,1,2,0,0,0,3,57990
5,1,2,1,0,1,6,0,2,1,0,0,0,0,3,62300
5,1,2,1,3,1,6,0,2,1,0,0,0,0,2,52990
5,1,2,1,3,1,6,0,2,1,0,1,0,0,3,51990
5,1,2,1,0,1,6,0,2,1,0,3,0,0,3,61990
1,1,2,1,3,5,6,0,2,0,0,0,0,0,3,63990
5,1,2,1,3,1,6,0,2,1,0,0,0,0,3,65990
7,1,2,1,3,1,6,0,2,1,0,0,0,0,3,52990
5,1,2,0,3,1,6,0,2,1,0,0,0,0,2,49990
1,1,2,1,3,1,6,0,2,1,2,3,0,0,3,71990
1,1,2,0,3,1,6,0,2,1,0,0,0,0,3,47990
5,1,2,0,3,1,6,0,2,0,0,1,0,0,3,48490
1,1,2,1,3,1,6,0,2,1,2,3,0,0,3,72990
6,1,2,1,0,1,6,0,2,1,2,1,0,0,3,76990
1,1,2,1,0,1,6,0,2,1,3,0,0,0,3,89990
6,1,2,0,3,1,6,0,2,1,2,1,0,0,3,59990
1,1,2,0,3,1,6,0,2,1,2,0,0,0,3,65990
3,1,2,1,3,1,6,0,2,1,0,3,0,0,3,71990
3,1,2,1,3,1,6,0,2,1,0,3,0,0,3,71890
5,1,2,1,0,1,6,0,2,1,0,3,0,0,2,64990
1,1,2,1,0,1,6,0,2,1,0,0,0,0,2,65990
4,1,2,1,3,1,6,0,2,1,0,3,0,0,3,55999
1,1,2,1,0,1,6,0,2,1,2,0,0,0,3,73490
4,1,2,1,0,1,6,0,2,1,0,0,0,0,3,74490
4,1,2,1,3,1,6,0,2,1,0,0,0,0,3,58340
7,1,2,1,3,1,6,0,2,1,0,0,0,0,3,55999
3,1,2,1,0,1,6,0,2,1,0,3,0,0,3,67990
1,1,2,1,0,1,6,0,2,1,0,0,0,0,3,59990
1,1,2,1,0,1,6,0,2,1,3,0,0,0,3,82990
3,1,2,1,3,1,6,0,2,1,1,0,0,0,2,64190
3,1,2,1,0,1,6,0,2,1,0,3,0,0,3,70090
1,1,2,0,3,1,6,0,2,1,1,0,0,0,3,49990
6,1,2,1,3,1,6,0,2,1,0,3,0,0,2,55490
4,1,2,1,3,5,6,0,2,1,0,3,0,0,4,97990
1,1,2,6,3,1,6,0,2,1,2,0,0,0,3,54990
5,1,2,1,3,1,6,0,2,1,0,0,0,0,3,59990
5,1,2,1,3,1,6,0,2,1,0,0,0,0,3,53990
4,1,2,1,0,1,6,0,2,1,0,0,0,0,3,66999
7,1,2,1,3,5,6,0,2,1,0,0,0,0,3,60990
1,1,2,0,3,1,6,0,2,1,0,0,0,0,3,47990
4,1,2,1,3,1,6,0,2,0,0,0,0,0,3,59999
3,1,2,0,0,1,6,0,2,1,2,0,0,0,2,79990
1,1,2,0,3,1,6,0,2,1,2,0,0,0,2,63990
4,1,2,1,3,1,6,0,2,1,0,0,0,0,3,63990
1,1,2,1,0,1,6,0,2,1,0,0,0,0,2,59990
5,1,2,1,3,1,6,0,2,1,0,0,0,0,2,55990
4,1,2,1,3,1,6,0,2,1,0,0,0,0,3,63990
3,1,2,1,0,1,6,0,2,1,1,0,0,0,2,69490
3,1,2,1,0,1,6,0,2,1,0,0,0,0,2,89390
1,1,2,1,3,5,6,0,2,1,0,3,0,0,2,74990
5,1,2,1,3,1,6,0,2,1,0,2,0,0,3,64990
5,1,2,0,3,1,6,0,2,1,2,0,0,0,3,66490
3,1,2,1,0,1,6,0,2,1,1,0,0,0,2,89702
5,1,2,1,0,1,6,0,2,1,1,0,0,0,3,70990
1,1,2,1,0,1,6,0,2,1,0,0,0,0,2,58990
5,1,2,0,3,1,6,0,2,1,1,0,0,0,2,57500
3,1,2,1,3,1,6,0,2,1,1,0,0,0,3,79990
6,1,2,0,3,1,6,0,2,1,0,3,0,0,3,56541
1,1,2,1,0,1,6,0,2,1,0,3,0,0,2,59990
5,1,2,1,0,1,6,0,2,1,0,0,0,0,3,64990
3,1,2,1,3,1,6,0,2,1,0,0,0,0,2,61290
5,1,2,1,3,1,6,0,2,1,0,0,0,0,3,54990
5,1,2,1,3,1,6,0,2,1,0,0,0,0,3,59990
1,1,2,1,3,1,6,0,2,0,3,0,0,0,4,84990
4,1,2,1,3,1,6,0,2,1,0,0,0,0,3,72500
5,1,2,1,3,1,6,0,2,1,2,3,0,0,2,59990
5,1,2,1,3,1,6,0,2,1,0,0,0,0,3,87990
4,1,2,1,3,1,6,0,2,1,0,3,0,0,3,57990
3,1,2,1,3,1,6,0,2,1,0,0,0,0,3,69490
5,1,2,1,3,1,6,0,2,1,0,2,0,0,3,68990
5,1,2,1,3,1,6,0,2,0,0,0,0,0,3,77990
1,1,2,1,3,5,6,0,2,1,0,0,0,0,3,105990
6,1,2,1,3,5,6,0,2,1,0,0,0,0,2,79990
3,1,2,1,3,1,6,0,2,1,0,0,0,0,3,55490
5,1,2,1,3,1,6,0,2,1,0,0,0,0,3,69990
1,1,2,1,3,1,6,0,2,1,0,0,0,0,3,84990
3,1,2,1,3,1,6,0,2,1,0,3,0,0,2,59990
3,1,2,0,3,5,6,0,2,1,0,0,0,0,2,111890
3,1,2,1,3,1,6,0,2,1,1,0,0,0,3,65990
1,1,2,1,3,5,6,0,2,0,0,0,0,0,3,72990
3,1,2,1,3,1,6,0,2,1,0,0,0,0,3,71090
6,1,2,1,3,1,6,0,2,1,2,1,0,0,2,74990
1,1,2,0,3,3,6,0,2,1,0,0,0,0,3,79990
6,1,2,1,3,1,6,0,2,1,0,0,0,0,3,55490
3,1,2,1,3,1,6,0,2,1,1,0,0,0,3,66490
1,1,2,1,3,1,6,0,2,1,0,0,0,0,3,53400
3,1,2,1,3,1,6,0,2,1,0,0,0,0,3,74500
3,1,2,1,3,5,6,0,2,1,0,0,0,0,2,114990
3,1,2,1,3,1,6,0,2,1,1,3,0,0,3,61990
0,1,2,0,3,5,6,0,1,1,0,0,0,0,3,159990
0,1,2,5,3,0,6,0,1,1,0,0,0,0,3,172090
6,1,2,1,3,1,6,0,2,1,2,3,0,0,2,74990
6,1,2,0,3,1,6,0,2,1,0,0,0,0,3,56490
5,1,2,0,3,1,6,0,2,1,0,2,0,0,2,147000
5,1,2,1,3,1,6,0,2,1,0,0,0,0,3,55990
4,1,2,1,3,1,6,0,2,1,2,0,0,0,2,77990
4,1,2,0,3,1,6,0,2,1,2,0,0,0,3,106490
5,1,2,1,3,1,6,0,2,0,1,0,0,0,3,70990
5,1,2,1,3,1,6,0,2,1,0,0,0,0,3,64990
7,1,2,1,3,1,6,0,2,1,0,0,0,0,2,57990
1,1,2,0,3,1,6,0,2,1,2,0,0,0,3,64990
6,1,2,0,3,1,6,0,2,1,0,0,0,0,3,54990
4,1,2,1,3,5,6,0,2,1,0,3,0,0,2,111999
5,1,2,0,3,5,6,0,2,1,1,0,0,0,3,70798
5,1,2,6,3,1,6,0,2,1,2,3,0,0,2,59990
7,1,2,5,3,1,6,0,2,1,2,0,0,0,2,99500
4,1,2,0,3,1,6,0,2,1,0,0,0,0,3,55990
1,1,2,5,3,3,6,0,2,1,0,0,0,0,3,72990
7,1,2,5,3,0,6,0,2,1,0,0,0,0,2,64990
1,1,2,1,3,1,6,0,2,1,0,3,0,0,2,57990
4,1,2,1,3,1,6,0,2,1,1,0,0,0,3,76990
5,1,2,1,3,1,6,0,2,1,0,1,0,0,3,62998
3,1,2,1,3,1,6,0,2,1,0,0,0,0,3,77990
4,1,2,0,3,1,6,0,2,1,0,0,0,0,3,114990
3,1,2,0,3,1,6,0,2,1,1,0,0,0,2,65990
3,1,2,1,3,1,6,0,2,1,1,0,0,0,2,88990
5,1,2,0,3,1,6,0,2,1,0,3,0,0,2,113590
1,1,2,1,3,5,6,0,2,1,0,0,0,0,3,73990
4,1,2,1,3,1,6,0,2,1,0,0,0,0,3,61000
1,1,2,1,3,5,6,0,2,1,0,0,0,0,3,99990
5,1,2,1,3,1,6,0,2,1,0,0,0,0,3,67990
3,1,2,1,3,1,6,0,2,1,0,0,0,0,3,70799
5,1,2,1,3,1,6,0,2,1,0,0,0,0,3,65990
1,1,2,5,3,1,6,0,2,1,0,0,0,0,3,53690
6,1,2,1,3,1,6,0,2,1,0,0,0,0,2,55990
1,1,2,1,3,1,6,0,2,1,0,0,0,0,3,53190
5,1,2,0,3,1,6,0,2,0,1,1,0,0,3,58999
3,1,2,1,3,1,6,0,2,1,1,2,0,0,2,71990
4,1,2,1,3,1,6,0,2,0,2,3,0,0,2,82000
1,1,2,1,3,5,6,0,2,1,0,3,0,0,2,84990
5,1,2,1,3,1,6,0,2,1,1,3,0,0,2,89998
1,1,2,1,3,5,6,0,2,1,0,0,0,0,2,99990
5,1,2,0,3,1,6,0,2,1,2,3,0,0,3,69899
3,1,2,0,3,1,6,0,2,1,2,0,0,0,2,79990
3,1,2,0,3,1,6,0,2,1,2,0,0,0,3,76300
5,1,2,0,3,1,6,0,2,1,0,0,0,0,2,55999
3,1,2,1,3,1,6,0,2,1,0,3,0,0,2,72900
3,1,2,1,3,1,6,0,2,1,0,0,0,0,3,73990
1,1,2,1,3,4,6,0,2,1,0,3,0,0,2,84990
3,1,2,1,3,1,6,0,2,0,1,3,0,0,2,73519
4,1,2,0,3,1,6,0,2,1,0,0,0,0,4,126000
1,1,2,1,3,1,6,0,2,1,3,0,0,0,2,88990
4,1,2,1,3,1,6,0,2,1,0,0,0,0,2,114999
3,1,2,1,3,1,6,0,2,1,1,0,0,0,3,82990
7,1,2,1,3,1,6,0,2,1,0,3,0,0,2,109999
5,1,2,1,3,1,6,0,2,1,0,0,0,0,2,82990
3,1,2,1,3,1,6,0,2,1,1,0,0,0,3,79990
1,1,2,1,3,5,6,0,2,1,0,0,0,0,2,114990
4,1,2,1,3,5,6,0,2,1,0,0,0,0,2,129999
6,1,2,5,3,2,6,0,2,0,3,3,0,0,3,149990
3,1,2,1,3,1,6,0,2,1,1,3,0,0,2,71290
3,1,2,0,3,1,6,0,2,1,0,0,0,0,3,79500
3,1,2,0,3,1,6,0,2,1,1,0,0,0,2,82990
3,1,2,1,3,1,6,0,2,1,1,0,0,0,3,70980
4,1,2,1,3,1,6,0,2,0,0,3,0,0,2,94000
3,1,2,1,3,1,6,0,2,1,1,3,0,0,3,82990
6,1,2,1,3,5,6,0,2,1,0,0,0,0,3,79990
1,1,2,5,3,1,6,0,2,1,0,3,0,0,2,85990
1,1,2,0,3,1,6,0,2,1,1,3,0,0,2,86990
1,1,2,0,3,3,6,0,2,1,1,0,0,0,4,105990
1,1,2,0,3,3,6,0,2,1,0,3,0,0,2,84990
5,1,2,5,3,1,6,0,2,1,1,0,0,0,3,59999
5,1,2,1,3,1,6,0,2,1,0,0,0,0,3,91999
3,1,2,1,3,1,6,0,2,1,0,0,0,0,2,78900
1,1,2,0,3,3,6,0,2,1,0,3,0,0,2,132790
5,1,2,1,3,1,6,0,2,1,2,3,0,0,2,60990
2,1,2,4,3,1,6,0,2,1,0,3,0,0,2,65556
3,1,2,1,0,1,6,0,2,1,0,3,0,0,2,70190
3,1,2,1,3,1,6,0,2,1,1,0,0,0,2,79590
1,1,2,1,3,1,6,0,2,1,2,0,0,0,2,76990
2,1,2,5,3,1,6,0,2,1,0,3,0,0,2,44990
1,1,2,1,3,1,6,0,2,1,0,0,0,0,2,84990
5,1,2,0,3,1,6,0,2,1,1,0,0,0,3,86999
4,1,2,1,0,1,6,0,2,1,1,0,0,0,3,78000
2,1,2,5,3,1,6,0,2,1,0,3,0,0,2,73063
4,1,2,1,0,1,6,0,2,1,2,0,0,0,2,100990
5,1,2,5,3,1,6,0,2,1,0,0,0,0,2,74990
1,1,2,0,3,1,6,0,2,1,2,3,0,0,3,75990
5,1,2,1,3,1,6,0,2,0,1,0,0,0,2,84086
